Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Subcellular location [CC]
P00127	reviewed	QCR6_YEAST	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VI) (Cytochrome c1 non-heme 17 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c oxidoreductase subunit 6) (Ubiquinol-cytochrome c reductase 17 kDa protein)	QCR6 UCR6 YFR033C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	147	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:22984289, ECO:0000269|PubMed:30598554}; Peripheral membrane protein {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}; Intermembrane side {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}.
P00128	reviewed	QCR7_YEAST	Cytochrome b-c1 complex subunit 7, mitochondrial (Complex III subunit 7) (Complex III subunit VII) (Ubiquinol-cytochrome c oxidoreductase subunit 7) (Ubiquinol-cytochrome c reductase 14 kDa protein)	QCR7 CRO1 UCR7 YDR529C D9719.32	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	127	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}; Peripheral membrane protein {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}; Matrix side {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}.
P00163	reviewed	CYB_YEAST	Cytochrome b (EC 7.1.1.8) (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome c oxidoreductase complex cytochrome b subunit)	COB CYTB Q0105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:8031140}; Multi-pass membrane protein {ECO:0000269|PubMed:10873857, ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:8031140}.
P00175	reviewed	CYB2_YEAST	L-lactate dehydrogenase (cytochrome) (EC 1.1.2.3) (Cytochrome b2) (Flavocytochrome b2) (FCB2) (L-lactate ferricytochrome c oxidoreductase) (L-LCR)	CYB2 YML054C YM9958.08C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	591	SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000269|PubMed:11502169, ECO:0000269|PubMed:22984289}.
P00330	reviewed	ADH1_YEAST	Alcohol dehydrogenase 1 (EC 1.1.1.1) (Alcohol dehydrogenase I) (YADH-1)	ADH1 ADC1 YOL086C O0947	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	348	SUBCELLULAR LOCATION: Cytoplasm.
P00331	reviewed	ADH2_YEAST	Alcohol dehydrogenase 2 (EC 1.1.1.1) (Alcohol dehydrogenase II) (YADH-2)	ADH2 ADR2 YMR303C YM9952.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	348	SUBCELLULAR LOCATION: Cytoplasm.
P00358	reviewed	G3P2_YEAST	Glyceraldehyde-3-phosphate dehydrogenase 2 (GAPDH 2) (EC 1.2.1.12)	TDH2 GPD2 YJR009C J1433	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332	SUBCELLULAR LOCATION: Cytoplasm.
P00359	reviewed	G3P3_YEAST	Glyceraldehyde-3-phosphate dehydrogenase 3 (GAPDH 3) (EC 1.2.1.12)	TDH3 GPD3 YGR192C G7576	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11502169}. Mitochondrion {ECO:0000269|PubMed:16823961}.
P00360	reviewed	G3P1_YEAST	Glyceraldehyde-3-phosphate dehydrogenase 1 (GAPDH 1) (EC 1.2.1.12)	TDH1 GPD1 SSS2 YJL052W J1154	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11502169}.
P00401	reviewed	COX1_YEAST	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	COX1 OXI3 Q0045	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	534	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Multi-pass membrane protein {ECO:0000269|PubMed:30598554}.
P00410	reviewed	COX2_YEAST	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	COX2 OXI1 Q0250	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	251	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Multi-pass membrane protein {ECO:0000269|PubMed:30598554}.
P00420	reviewed	COX3_YEAST	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	COX3 OXI2 Q0275	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	269	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Multi-pass membrane protein {ECO:0000269|PubMed:30598554}.
P00424	reviewed	COX5A_YEAST	Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)	COX5A YNL052W N2474 YNL2474W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	153	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Single-pass membrane protein {ECO:0000269|PubMed:30598554}.
P00427	reviewed	COX6_YEAST	Cytochrome c oxidase subunit 6, mitochondrial (Cytochrome c oxidase polypeptide VI)	COX6 YHR051W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	148	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Peripheral membrane protein {ECO:0000269|PubMed:30598554}; Matrix side {ECO:0000269|PubMed:30598554}.
P00431	reviewed	CCPR_YEAST	Cytochrome c peroxidase, mitochondrial (CCP) (EC 1.11.1.5)	CCP1 CCP CPO YKR066C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	361	SUBCELLULAR LOCATION: Mitochondrion matrix. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.
P00445	reviewed	SODC_YEAST	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	SOD1 YJR104C J1968	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	154	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11500508}. Mitochondrion intermembrane space {ECO:0000269|PubMed:11500508, ECO:0000269|PubMed:22984289}. Note=A small percentage (around 1-5 percent) localizes to the mitochondrial intermembrane space. {ECO:0000269|PubMed:11500508}.
P00546	reviewed	CDK1_YEAST	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (Cell division control protein 28) (Cell division protein kinase 1)	CDC28 CDK1 HSL5 SRM5 YBR160W YBR1211	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	298	
P00549	reviewed	KPYK1_YEAST	Pyruvate kinase 1 (PK 1) (EC 2.7.1.40) (cell division cycle protein 19)	CDC19 PYK1 YAL038W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	500	
P00560	reviewed	PGK_YEAST	Phosphoglycerate kinase (EC 2.7.2.3)	PGK1 YCR012W YCR12W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	416	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11502169}. Mitochondrion {ECO:0000269|PubMed:16823961}.
P00572	reviewed	KTHY_YEAST	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	CDC8 YJR057W J1715	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	216	
P00635	reviewed	PPA5_YEAST	Repressible acid phosphatase (EC 3.1.3.2) (P60)	PHO5 YBR093C YBR0814	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	467	SUBCELLULAR LOCATION: Secreted.
P00724	reviewed	INV2_YEAST	Invertase 2 (EC 3.2.1.26) (Beta-fructofuranosidase 2) (Saccharase)	SUC2 YIL162W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	532	SUBCELLULAR LOCATION: [Isoform Intracellular]: Cytoplasm.; SUBCELLULAR LOCATION: [Isoform Secreted]: Secreted.
P00729	reviewed	CBPY_YEAST	Carboxypeptidase Y (CPD-Y) (cpY) (EC 3.4.16.5) (Carboxypeptidase YSCY)	PRC1 YMR297W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	532	SUBCELLULAR LOCATION: Vacuole lumen {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:23708375, ECO:0000269|PubMed:29514932}. Note=The vacuolar sorting receptor VPS10 is required for the delivery of ATG42 to the vacuole lumen. {ECO:0000269|PubMed:29514932}.
P00812	reviewed	ARGI_YEAST	Arginase (EC 3.5.3.1)	CAR1 YPL111W LPH15W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	333	
P00815	reviewed	HIS2_YEAST	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]	HIS4 YCL030C YCL183 YCL30C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	799	
P00817	reviewed	IPYR_YEAST	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	IPP1 PPA PPA1 YBR011C YBR0202	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	287	SUBCELLULAR LOCATION: Cytoplasm.
P00830	reviewed	ATPB_YEAST	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2)	ATP2 YJR121W J2041	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	511	SUBCELLULAR LOCATION: Mitochondrion. Mitochondrion inner membrane. Note=Peripheral membrane protein.
P00854	reviewed	ATP6_YEAST	ATP synthase subunit a (F-ATPase protein 6)	ATP6 OLI2 OLI4 PHO1 Q0085	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	259	SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.
P00890	reviewed	CISY1_YEAST	Citrate synthase, mitochondrial (EC 2.3.3.1)	CIT1 GLU3 LYS6 YNR001C N2019	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	479	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:11502169}.
P00924	reviewed	ENO1_YEAST	Enolase 1 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 1) (2-phosphoglycerate dehydratase 1)	ENO1 ENOA HSP48 YGR254W G9160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	437	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11502169}.
P00925	reviewed	ENO2_YEAST	Enolase 2 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 2) (2-phosphoglycerate dehydratase 2)	ENO2 ENOB YHR174W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	437	SUBCELLULAR LOCATION: Cytoplasm.
P00927	reviewed	THDH_YEAST	Threonine dehydratase, mitochondrial (EC 4.3.1.19) (Threonine deaminase)	ILV1 YER086W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	576	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.
P00937	reviewed	TRPG_YEAST	Multifunctional tryptophan biosynthesis protein [Includes: Anthranilate synthase component 2 (AS) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Indole-3-glycerol phosphate synthase (EC 4.1.1.48) (PRAI)]	TRP3 YKL211C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	484	
P00942	reviewed	TPIS_YEAST	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	TPI1 YDR050C YD9609.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	248	
P00950	reviewed	PMG1_YEAST	Phosphoglycerate mutase 1 (PGAM 1) (EC 5.4.2.11) (BPG-dependent PGAM 1) (MPGM 1) (Phosphoglyceromutase 1)	GPM1 GPM YKL152C YKL607	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	247	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Mitochondrion outer membrane {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:16962558}; Peripheral membrane protein {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:16962558}; Cytoplasmic side {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:16962558}. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.
P00958	reviewed	SYMC_YEAST	Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	MES1 YGR264C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	751	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11726524}. Note=Largely excluded from the nucleus.
P01094	reviewed	IPA3_YEAST	Protease A inhibitor 3 (Proteinase inhibitor I(A)3) (Proteinase yscA-inhibitor) (Saccharopepsin inhibitor)	PAI3 YMR174C YM8010.04C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	68	
P01119	reviewed	RAS1_YEAST	Ras-like protein 1 (EC 3.6.5.2)	RAS1 YOR101W YOR3205W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	309	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor.
P01120	reviewed	RAS2_YEAST	Ras-like protein 2 (EC 3.6.5.2)	RAS2 ASC1 CTN5 GLC5 YNL098C N2198	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	322	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor.
P01123	reviewed	YPT1_YEAST	GTP-binding protein YPT1 (Protein YP2) (Rab GTPase YPT1) (Transport GTPase YPT1)	YPT1 YP2 YFL038C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	206	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12802060}; Peripheral membrane protein {ECO:0000269|PubMed:12802060}. Golgi apparatus membrane {ECO:0000269|PubMed:12802060}; Peripheral membrane protein {ECO:0000269|PubMed:12802060}. Cytoplasm {ECO:0000269|PubMed:12802060}. Preautophagosomal structure membrane {ECO:0000269|PubMed:20375281}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Note=ER and Golgi when GTP-bound. Cytoplasmic when bound to GDI1.
P02293	reviewed	H2B1_YEAST	Histone H2B.1 (Suppressor of Ty protein 12)	HTB1 H2B1 SPT12 YDR224C YD9934.09C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	131	SUBCELLULAR LOCATION: Nucleus. Chromosome.
P02294	reviewed	H2B2_YEAST	Histone H2B.2	HTB2 H2B2 YBL002W YBL0104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	131	SUBCELLULAR LOCATION: Nucleus. Chromosome.
P02309	reviewed	H4_YEAST	Histone H4	HHF1 YBR009C YBR0122; HHF2 YNL030W N2752	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	103	SUBCELLULAR LOCATION: Nucleus. Chromosome.
P02400	reviewed	RLA4_YEAST	60S acidic ribosomal protein P2-beta (L12eIA) (L45) (Large ribosomal subunit protein P2-B) (P2B) (YL44C) (YP2beta) (YPA1)	RPP2B L12EIA RPL45 RPLA4 YDR382W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	110	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P02406	reviewed	RL28_YEAST	60S ribosomal protein L28 (L27a) (L29) (Large ribosomal subunit protein uL15) (RP44) (RP62) (YL24)	RPL28 CYH2 YGL103W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	149	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22096102}.
P02557	reviewed	TBB_YEAST	Tubulin beta chain (Beta-tubulin)	TUB2 YFL037W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	457	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:23001566}. Note=Colocalizes with kinesin KIP3 at the plus ends of growing microtubules and along the microtubule lattice. {ECO:0000269|PubMed:23001566}.
P02829	reviewed	HSP82_YEAST	ATP-dependent molecular chaperone HSP82 (82 kDa heat shock protein) (Heat shock protein Hsp90 heat-inducible isoform)	HSP82 HSP90 YPL240C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	709	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.
P02992	reviewed	EFTU_YEAST	Elongation factor Tu, mitochondrial (tufM)	TUF1 TUFM YOR187W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	437	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.
P02994	reviewed	EF1A_YEAST	Elongation factor 1-alpha (EF-1-alpha) (Eukaryotic elongation factor 1A) (eEF1A) (Translation elongation factor 1A)	TEF1 YPR080W P9513.7; TEF2 YBR118W YBR0913	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	458	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:14562095}.
P03069	reviewed	GCN4_YEAST	General control transcription factor GCN4 (Amino acid biosynthesis regulatory protein) (General control protein GCN4)	GCN4 AAS101 AAS3 ARG9 YEL009C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	281	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12455686, ECO:0000269|PubMed:14648200}. Note=Localizes to the nucleus independently of cellular amino acid levels. {ECO:0000269|PubMed:12455686}.
P03870	reviewed	FLP_YEAST	Site-specific recombinase Flp (FLP) (Protein Able)	FLP1 R0010W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	423	
P03871	reviewed	REP1_YEAST	Partitioning protein REP1 (R1) (Protein Baker) (Trans-acting factor B)	REP1 R0020C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	373	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10791970, ECO:0000269|PubMed:9393716, ECO:0000269|PubMed:9819432}. Note=Colocalizes with the STB locus of the 2-micron plasmid as foci in the nucleus near the spindle pole body. Is expelled from STB during a short interval between late G1 and early S phases.
P03873	reviewed	MBI2_YEAST	Cytochrome b mRNA maturase bI2	BI2 Q0110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	423	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P03877	reviewed	SCE3_YEAST	Intron-encoded DNA endonuclease aI3 (DNA endonuclease I-SceIII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI3 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIII)]	AI3 ENS3 I-SCEIII Q0060	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	415	SUBCELLULAR LOCATION: Mitochondrion. Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P03878	reviewed	SCE2_YEAST	Intron-encoded DNA endonuclease aI4 (DNA endonuclease I-SceII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI4 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceII)]	AI4 ENS2 I-SCEII Q0065	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	556	SUBCELLULAR LOCATION: Mitochondrion.
