Entry	Entry Name	Gene Names	Subcellular location [CC]
O60200	MDM35_YEAST	MDM35 YKL053C-A	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}. Mitochondrion intermembrane space {ECO:0000269|PubMed:17095012, ECO:0000269|PubMed:20622808, ECO:0000269|PubMed:20657548, ECO:0000269|PubMed:22984289}.
O74700	TIM9_YEAST	TIM9 YEL020W-A YEL020BW	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:9822593, ECO:0000269|PubMed:9889188}; Peripheral membrane protein {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:9822593, ECO:0000269|PubMed:9889188}; Intermembrane side {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:9822593, ECO:0000269|PubMed:9889188}. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.
O75012	MRP10_YEAST	MRP10 YDL045W-A	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:14562095}. Mitochondrion matrix {ECO:0000269|PubMed:24360785}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.
O94742	SEM1_YEAST	SEM1 DSH1 YDR363W-A	
P00044	CYC1_YEAST	CYC1 YJR048W J1653	SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289, ECO:0000269|PubMed:9866716}.
P00127	QCR6_YEAST	QCR6 UCR6 YFR033C	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:22984289, ECO:0000269|PubMed:30598554}; Peripheral membrane protein {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}; Intermembrane side {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}.
P00128	QCR7_YEAST	QCR7 CRO1 UCR7 YDR529C D9719.32	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}; Peripheral membrane protein {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}; Matrix side {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}.
P00163	CYB_YEAST	COB CYTB Q0105	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:8031140}; Multi-pass membrane protein {ECO:0000269|PubMed:10873857, ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:8031140}.
P00175	CYB2_YEAST	CYB2 YML054C YM9958.08C	SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000269|PubMed:11502169, ECO:0000269|PubMed:22984289}.
P00330	ADH1_YEAST	ADH1 ADC1 YOL086C O0947	SUBCELLULAR LOCATION: Cytoplasm.
P00331	ADH2_YEAST	ADH2 ADR2 YMR303C YM9952.05C	SUBCELLULAR LOCATION: Cytoplasm.
P00358	G3P2_YEAST	TDH2 GPD2 YJR009C J1433	SUBCELLULAR LOCATION: Cytoplasm.
P00359	G3P3_YEAST	TDH3 GPD3 YGR192C G7576	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11502169}. Mitochondrion {ECO:0000269|PubMed:16823961}.
P00360	G3P1_YEAST	TDH1 GPD1 SSS2 YJL052W J1154	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11502169}.
P00401	COX1_YEAST	COX1 OXI3 Q0045	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Multi-pass membrane protein {ECO:0000269|PubMed:30598554}.
P00410	COX2_YEAST	COX2 OXI1 Q0250	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Multi-pass membrane protein {ECO:0000269|PubMed:30598554}.
P00420	COX3_YEAST	COX3 OXI2 Q0275	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Multi-pass membrane protein {ECO:0000269|PubMed:30598554}.
P00424	COX5A_YEAST	COX5A YNL052W N2474 YNL2474W	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Single-pass membrane protein {ECO:0000269|PubMed:30598554}.
P00427	COX6_YEAST	COX6 YHR051W	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Peripheral membrane protein {ECO:0000269|PubMed:30598554}; Matrix side {ECO:0000269|PubMed:30598554}.
P00431	CCPR_YEAST	CCP1 CCP CPO YKR066C	SUBCELLULAR LOCATION: Mitochondrion matrix. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.
P00445	SODC_YEAST	SOD1 YJR104C J1968	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11500508}. Mitochondrion intermembrane space {ECO:0000269|PubMed:11500508, ECO:0000269|PubMed:22984289}. Note=A small percentage (around 1-5 percent) localizes to the mitochondrial intermembrane space. {ECO:0000269|PubMed:11500508}.
P00546	CDK1_YEAST	CDC28 CDK1 HSL5 SRM5 YBR160W YBR1211	
P00549	KPYK1_YEAST	CDC19 PYK1 YAL038W	
P00560	PGK_YEAST	PGK1 YCR012W YCR12W	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11502169}. Mitochondrion {ECO:0000269|PubMed:16823961}.
P00572	KTHY_YEAST	CDC8 YJR057W J1715	
P00635	PPA5_YEAST	PHO5 YBR093C YBR0814	SUBCELLULAR LOCATION: Secreted.
P00724	INV2_YEAST	SUC2 YIL162W	SUBCELLULAR LOCATION: [Isoform Intracellular]: Cytoplasm.; SUBCELLULAR LOCATION: [Isoform Secreted]: Secreted.
P00729	CBPY_YEAST	PRC1 YMR297W	SUBCELLULAR LOCATION: Vacuole lumen {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:23708375, ECO:0000269|PubMed:29514932}. Note=The vacuolar sorting receptor VPS10 is required for the delivery of ATG42 to the vacuole lumen. {ECO:0000269|PubMed:29514932}.
P00812	ARGI_YEAST	CAR1 YPL111W LPH15W	
P00815	HIS2_YEAST	HIS4 YCL030C YCL183 YCL30C	
P00817	IPYR_YEAST	IPP1 PPA PPA1 YBR011C YBR0202	SUBCELLULAR LOCATION: Cytoplasm.
P00830	ATPB_YEAST	ATP2 YJR121W J2041	SUBCELLULAR LOCATION: Mitochondrion. Mitochondrion inner membrane. Note=Peripheral membrane protein.
P00854	ATP6_YEAST	ATP6 OLI2 OLI4 PHO1 Q0085	SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.
P00890	CISY1_YEAST	CIT1 GLU3 LYS6 YNR001C N2019	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:11502169}.
P00924	ENO1_YEAST	ENO1 ENOA HSP48 YGR254W G9160	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11502169}.
P00925	ENO2_YEAST	ENO2 ENOB YHR174W	SUBCELLULAR LOCATION: Cytoplasm.
P00927	THDH_YEAST	ILV1 YER086W	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.
P00937	TRPG_YEAST	TRP3 YKL211C	
P00942	TPIS_YEAST	TPI1 YDR050C YD9609.05C	
P00950	PMG1_YEAST	GPM1 GPM YKL152C YKL607	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Mitochondrion outer membrane {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:16962558}; Peripheral membrane protein {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:16962558}; Cytoplasmic side {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:16962558}. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.
P00958	SYMC_YEAST	MES1 YGR264C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11726524}. Note=Largely excluded from the nucleus.
P01094	IPA3_YEAST	PAI3 YMR174C YM8010.04C	
P01119	RAS1_YEAST	RAS1 YOR101W YOR3205W	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor.
P01120	RAS2_YEAST	RAS2 ASC1 CTN5 GLC5 YNL098C N2198	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor.
P01123	YPT1_YEAST	YPT1 YP2 YFL038C	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12802060}; Peripheral membrane protein {ECO:0000269|PubMed:12802060}. Golgi apparatus membrane {ECO:0000269|PubMed:12802060}; Peripheral membrane protein {ECO:0000269|PubMed:12802060}. Cytoplasm {ECO:0000269|PubMed:12802060}. Preautophagosomal structure membrane {ECO:0000269|PubMed:20375281}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Note=ER and Golgi when GTP-bound. Cytoplasmic when bound to GDI1.
P02293	H2B1_YEAST	HTB1 H2B1 SPT12 YDR224C YD9934.09C	SUBCELLULAR LOCATION: Nucleus. Chromosome.
P02294	H2B2_YEAST	HTB2 H2B2 YBL002W YBL0104	SUBCELLULAR LOCATION: Nucleus. Chromosome.
P02309	H4_YEAST	HHF1 YBR009C YBR0122; HHF2 YNL030W N2752	SUBCELLULAR LOCATION: Nucleus. Chromosome.
P02400	RLA4_YEAST	RPP2B L12EIA RPL45 RPLA4 YDR382W	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P02406	RL28_YEAST	RPL28 CYH2 YGL103W	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22096102}.
P02557	TBB_YEAST	TUB2 YFL037W	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:23001566}. Note=Colocalizes with kinesin KIP3 at the plus ends of growing microtubules and along the microtubule lattice. {ECO:0000269|PubMed:23001566}.
P02829	HSP82_YEAST	HSP82 HSP90 YPL240C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.
P02992	EFTU_YEAST	TUF1 TUFM YOR187W	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.
P02994	EF1A_YEAST	TEF1 YPR080W P9513.7; TEF2 YBR118W YBR0913	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:14562095}.
P03069	GCN4_YEAST	GCN4 AAS101 AAS3 ARG9 YEL009C	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12455686, ECO:0000269|PubMed:14648200}. Note=Localizes to the nucleus independently of cellular amino acid levels. {ECO:0000269|PubMed:12455686}.
P03870	FLP_YEAST	FLP1 R0010W	
P03871	REP1_YEAST	REP1 R0020C	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10791970, ECO:0000269|PubMed:9393716, ECO:0000269|PubMed:9819432}. Note=Colocalizes with the STB locus of the 2-micron plasmid as foci in the nucleus near the spindle pole body. Is expelled from STB during a short interval between late G1 and early S phases.
P03873	MBI2_YEAST	BI2 Q0110	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P03877	SCE3_YEAST	AI3 ENS3 I-SCEIII Q0060	SUBCELLULAR LOCATION: Mitochondrion. Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P03878	SCE2_YEAST	AI4 ENS2 I-SCEII Q0065	SUBCELLULAR LOCATION: Mitochondrion.
P03879	MBI4_YEAST	BI4 SCBI4 Q0120	SUBCELLULAR LOCATION: Mitochondrion.
P03962	PYRF_YEAST	URA3 YEL021W	
P03965	CARB_YEAST	CPA2 YJR109C J2002	SUBCELLULAR LOCATION: Cytoplasm.
P04037	COX4_YEAST	COX4 YGL187C G1362	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Peripheral membrane protein {ECO:0000269|PubMed:30598554}; Matrix side {ECO:0000269|PubMed:30598554}.
P04039	COX8_YEAST	COX8 YLR395C L8084.14	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Single-pass membrane protein {ECO:0000269|PubMed:30598554}.
P04050	RPB1_YEAST	RPO21 RPB1 RPB220 SUA8 YDL140C D2150	SUBCELLULAR LOCATION: Nucleus.
P04051	RPC1_YEAST	RPO31 RPC1 RPC160 YOR116C O3254 YOR3254C	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.
P04147	PABP_YEAST	PAB1 YER165W	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Predominantly cytoplasmic. Rapidly shuttles between the nucleus and the cytoplasm. Can be exported from the nucleus through at least 2 distinct pathways, the main being dependent on the exportin CRM1, and the second requiring MEX67 and ongoing mRNA export. Import is mediated by the importin SXM1.
P04385	GAL1_YEAST	GAL1 YBR020W YBR0302	
P04386	GAL4_YEAST	GAL4 YPL248C	SUBCELLULAR LOCATION: Nucleus.
P04387	GAL80_YEAST	GAL80 YML051W YM9827.01 YM9958.12	
P04397	GAL10_YEAST	GAL10 YBR019C YBR0301	
P04456	RL25_YEAST	RPL25 YOL127W	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22096102}.
P04710	ADT1_YEAST	AAC1 YMR056C YM9796.09C	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P18239}; Multi-pass membrane protein {ECO:0000255}.
P04786	TOP1_YEAST	TOP1 MAK1 YOL006C	SUBCELLULAR LOCATION: Nucleus, nucleolus. Nucleus, nucleoplasm. Note=Diffuse nuclear localization with some enrichment in nucleoli. On CPT treatment, cleared from nucleoli into nucleoplasm. Sumoylated forms found in both nucleoplasm and nucleoli (By similarity). {ECO:0000250}.
P04802	SYDC_YEAST	DPS1 APS APS1 YLL018C L1295	SUBCELLULAR LOCATION: Cytoplasm.
P04806	HXKA_YEAST	HXK1 HKA YFR053C	
P04807	HXKB_YEAST	HXK2 HEX1 HKB YGL253W NRB486	
P04817	CAN1_YEAST	CAN1 YEL063C	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12100990, ECO:0000269|PubMed:14551254, ECO:0000269|PubMed:21223946, ECO:0000269|PubMed:21880895}; Multi-pass membrane protein {ECO:0000269|PubMed:21880895}. Endosome membrane {ECO:0000269|PubMed:21880895}; Multi-pass membrane protein {ECO:0000269|PubMed:21880895}. Note=Recycled via the retromer-mediated pathway (PubMed:21880895). Requires phosphatidyl ethanolamine (PE) for localization and exclusively associated with lipid rafts called MCCs (membrane compartment occupied by CAN1) (PubMed:12100990, PubMed:14551254, PubMed:21223946). {ECO:0000269|PubMed:12100990, ECO:0000269|PubMed:14551254, ECO:0000269|PubMed:21223946, ECO:0000269|PubMed:21880895}.
P04819	DNLI1_YEAST	CDC9 YDL164C	SUBCELLULAR LOCATION: [Isoform Mitochondrial]: Mitochondrion.; SUBCELLULAR LOCATION: [Isoform Nuclear]: Nucleus.
P04821	CDC25_YEAST	CDC25 CTN1 YLR310C L2142.6	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P04824	MEL1_YEASX	MEL1	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20592022}.
P04840	VDAC1_YEAST	POR1 OMP2 VDAC1 YNL055C N2441 YNL2441C	SUBCELLULAR LOCATION: Mitochondrion outer membrane.
P04911	H2A1_YEAST	HTA1 H2A1 SPT11 YDR225W YD9934.10	SUBCELLULAR LOCATION: Nucleus. Chromosome.
P04912	H2A2_YEAST	HTA2 H2A2 YBL003C YBL0103	SUBCELLULAR LOCATION: Nucleus. Chromosome.
P05030	PMA1_YEAST	PMA1 YGL008C	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P05066	PHR_YEAST	PHR1 YOR386W	SUBCELLULAR LOCATION: Nucleus. Mitochondrion.
P05150	OTC_YEAST	ARG3 YJL088W J0924	SUBCELLULAR LOCATION: Cytoplasm.
P05317	RLA0_YEAST	RPP0 L10E RPA0 RPL10E RPLA0 YLR340W L8300.8	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22096102}.
P05318	RLA1_YEAST	RPP1A L12EIIA RPA1 RPLA1 YDL081C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P05319	RLA2_YEAST	RPP2A L12EIB RPA2 RPL44 RPLA2 YOL039W	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P05373	HEM2_YEAST	HEM2 YGL040C	
P05374	CHO2_YEAST	CHO2 PEM1 YGR157W G6673	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03217, ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03217}.
P05375	PLMT_YEAST	OPI3 PEM2 YJR073C J1824	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03216, ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03216}. Mitochondrion membrane {ECO:0000255|HAMAP-Rule:MF_03216, ECO:0000269|PubMed:14576278}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03216}.
P05453	ERF3_YEAST	SUP35 GST1 PNM2 SAL3 SUF12 SUP2 YDR172W YD9395.05	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P05626	ATPF_YEAST	ATP4 YPL078C LPF7C	SUBCELLULAR LOCATION: Mitochondrion. Mitochondrion inner membrane.
P05737	RL7A_YEAST	RPL7A RPL6A RPL8A YL8A YGL076C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P05739	RL6B_YEAST	RPL6B RPL16B RPL17B YL16B YLR448W L9324.4	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P05740	RL17A_YEAST	RPL17A RPL17 RPL20A YKL180W	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P05744	RL33A_YEAST	RPL33A RPL37A YPL143W LPI4W P2625	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22096102}.
P05745	RL36A_YEAST	RPL36A RPL39A YMR194W YM9646.06	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.
P05748	RL15A_YEAST	RPL15A RPL10A RPL13A YL10A YLR029C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22096102}.
P05750	RS3_YEAST	RPS3 SUF14 YNL178W N1653	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22096102}.
P05755	RS9B_YEAST	RPS9B RPS13B SUP46 YBR189W YBR1317	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22096102}. Nucleus, nucleolus {ECO:0000269|PubMed:15590835}.
P05756	RS13_YEAST	RPS13 RPS13C YDR064W D4252 YD9609.18	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22096102}.
P05759	RS31_YEAST	RPS31 RPS37 UBI3 YLR167W L9470.14	SUBCELLULAR LOCATION: [Ubiquitin]: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.; SUBCELLULAR LOCATION: [40S ribosomal protein S31]: Cytoplasm {ECO:0000269|PubMed:22096102}.
P05986	KAPC_YEAST	TPK3 PKA3 YKL166C YKL630	
P06100	NOT2_YEAST	CDC36 DNA19 NOT2 YDL165W	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11889048}. Nucleus {ECO:0000269|PubMed:11889048}.
P06101	CDC37_YEAST	CDC37 SMO1 YDR168W YD9489.03	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.
P06102	NOT3_YEAST	NOT3 YIL038C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Nucleus.
